time,x,y,z,MF
49.008,1.80,-35.52,-37.14,51.42
49.009,1.92,-35.52,-37.38,51.60
49.009,2.04,-35.52,-37.62,51.78
49.013,2.46,-35.64,-37.50,51.79
49.033,2.94,-36.06,-37.32,51.98
49.054,3.24,-36.48,-36.60,51.78
49.162,4.20,-37.32,-35.76,51.86
49.163,4.62,-38.28,-34.62,51.82
49.164,5.04,-39.54,-33.24,51.90
49.165,5.22,-40.32,-31.86,51.65
49.165,5.28,-41.28,-30.60,51.65
49.174,5.28,-42.00,-29.58,51.64
49.199,5.16,-42.48,-28.86,51.61
49.306,5.10,-42.90,-28.56,51.79
49.307,4.92,-43.44,-28.20,52.02
49.308,5.16,-43.68,-27.78,52.02
49.309,5.10,-43.68,-27.66,51.95
49.310,5.22,-43.86,-27.36,51.96
49.315,5.34,-44.04,-27.30,52.09
49.343,5.28,-43.98,-27.18,51.97
49.462,5.28,-44.10,-27.18,52.07
49.463,5.40,-44.34,-26.88,52.13
49.463,5.40,-44.16,-26.58,51.82
49.464,5.16,-44.04,-26.70,51.76
49.465,5.10,-44.04,-26.82,51.81
49.466,5.22,-43.92,-27.18,51.91
49.476,5.16,-43.74,-27.18,51.75
49.508,5.46,-43.98,-27.12,51.96
49.516,5.40,-43.80,-27.12,51.80
49.610,5.28,-43.68,-27.18,51.72
49.610,5.28,-43.56,-27.48,51.77
49.611,5.40,-43.62,-27.42,51.80
49.612,5.34,-43.50,-27.60,51.79
